Section,Sub Section,Content,Content Token Count
7.13 - Windows Storage,Persistent storage,"Persistent storage Windows has a layered filesystem driver to mount container layers and create a copyfilesystem based on NTFS. All file paths in the container are resolved only withinthe context of that container. With Docker, volume mounts can only target a directory in the container, and notan individual file. This limitation does not apply to containerd.Volume mounts cannot project files or directories back to the host filesystem.Read-only filesystems are not supported because write access is always requiredfor the Windows registry and SAM database. However, read-only volumes are supported.Volume user-masks and permissions are not available. Because the SAM is not sharedbetween the host & container, there's no mapping between them. All permissions areresolved within the context of the container. As a result, the following storage functionality is not supported on Windows nodes: Volume subpath mounts: only the entire volume can be mounted in a Windows containerSubpath volume mounting for SecretsHost mount projectionRead-only root filesystem (mapped volumes still support readOnly)Block device mappingMemory as the storage medium (for example, emptyDir.medium set to Memory)File system features like uid/gid; per-user Linux filesystem permissionsSetting secret permissions with DefaultMode (due to UID/GID dependency)NFS based storage/volume supportExpanding the mounted volume (resizefs) Kubernetes volumes enable complexapplications, with data persistence and Pod volume sharing requirements, to be deployedon Kubernetes. Management of persistent volumes associated with a specific storageback-end or protocol includes actions such as provisioning/de-provisioning/resizingof volumes, attaching/detaching a volume to/from a Kubernetes node andmounting/dismounting a volume to/from individual containers in a pod that needs topersist data. Volume management components are shipped as Kubernetes volumeplugin.The following broad classes of Kubernetes volume plugins are supported on Windows: FlexVolume pluginsPlease note that FlexVolumes have been deprecated as of 1.23CSI Plugins In-tree volume plugins The following in-tree plugins support persistent storage on Windows nodes: awsElasticBlockStoreazureDiskazureFilegcePersistentDiskvsphereVolume",470
8.1 - Configuration Best Practices,default,"This document highlights and consolidates configuration best practices that are introducedthroughout the user guide, Getting Started documentation, and examples. This is a living document. If you think of something that is not on this list but might be usefulto others, please don't hesitate to file an issue or submit a PR.",64
8.1 - Configuration Best Practices,General Configuration Tips,"General Configuration Tips When defining configurations, specify the latest stable API version.Configuration files should be stored in version control before being pushed to the cluster. Thisallows you to quickly roll back a configuration change if necessary. It also aids clusterre-creation and restoration.Write your configuration files using YAML rather than JSON. Though these formats can be usedinterchangeably in almost all scenarios, YAML tends to be more user-friendly.Group related objects into a single file whenever it makes sense. One file is often easier tomanage than several. See theguestbook-all-in-one.yamlfile as an example of this syntax.Note also that many kubectl commands can be called on a directory. For example, you can callkubectl apply on a directory of config files.Don't specify default values unnecessarily: simple, minimal configuration will make errors less likely.Put object descriptions in annotations, to allow better introspection.",198
8.1 - Configuration Best Practices,"""Naked"" Pods versus ReplicaSets, Deployments, and Jobs","""Naked"" Pods versus ReplicaSets, Deployments, and Jobs Don't use naked Pods (that is, Pods not bound to a ReplicaSet orDeployment) if you can avoid it. Naked Podswill not be rescheduled in the event of a node failure.A Deployment, which both creates a ReplicaSet to ensure that the desired number of Pods isalways available, and specifies a strategy to replace Pods (such asRollingUpdate), isalmost always preferable to creating Pods directly, except for some explicitrestartPolicy: Never scenarios.A Job may also be appropriate.",130
8.1 - Configuration Best Practices,Services,"Services Create a Service before its corresponding backendworkloads (Deployments or ReplicaSets), and before any workloads that need to access it.When Kubernetes starts a container, it provides environment variables pointing to all the Serviceswhich were running when the container was started. For example, if a Service named foo exists,all containers will get the following variables in their initial environment:FOO_SERVICE_HOST=<the host the Service is running on>FOO_SERVICE_PORT=<the port the Service is running on>This does imply an ordering requirement - any Service that a Pod wants to access must becreated before the Pod itself, or else the environment variables will not be populated.DNS does not have this restriction.An optional (though strongly recommended) cluster add-onis a DNS server. The DNS server watches the Kubernetes API for new Services and creates a setof DNS records for each. If DNS has been enabled throughout the cluster then all Pods should beable to do name resolution of Services automatically.Don't specify a hostPort for a Pod unless it is absolutely necessary. When you bind a Pod to ahostPort, it limits the number of places the Pod can be scheduled, because each <hostIP,hostPort, protocol> combination must be unique. If you don't specify the hostIP andprotocol explicitly, Kubernetes will use 0.0.0.0 as the default hostIP and TCP as thedefault protocol.If you only need access to the port for debugging purposes, you can use theapiserver proxyor kubectl port-forward.If you explicitly need to expose a Pod's port on the node, consider using aNodePort Service before resorting tohostPort.Avoid using hostNetwork, for the same reasons as hostPort.Use headless Services(which have a ClusterIP of None) for service discovery when you don't need kube-proxyload balancing.",404
8.1 - Configuration Best Practices,Using Labels,"Using Labels Define and use labels that identifysemantic attributes of your application or Deployment, such as { app.kubernetes.io/name: MyApp, tier: frontend, phase: test, deployment: v3 }. You can use these labels to select theappropriate Pods for other resources; for example, a Service that selects all tier: frontendPods, or all phase: test components of app.kubernetes.io/name: MyApp.See the guestbook appfor examples of this approach.A Service can be made to span multiple Deployments by omitting release-specific labels from itsselector. When you need to update a running service without downtime, use aDeployment.A desired state of an object is described by a Deployment, and if changes to that spec areapplied, the deployment controller changes the actual state to the desired state at a controlledrate.Use the Kubernetes common labelsfor common use cases. These standardized labels enrich the metadata in a way that allows tools,including kubectl and dashboard, towork in an interoperable way.You can manipulate labels for debugging. Because Kubernetes controllers (such as ReplicaSet) andServices match to Pods using selector labels, removing the relevant labels from a Pod will stopit from being considered by a controller or from being served traffic by a Service. If you removethe labels of an existing Pod, its controller will create a new Pod to take its place. This is auseful way to debug a previously ""live"" Pod in a ""quarantine"" environment. To interactively removeor add labels, use kubectl label.",347
8.1 - Configuration Best Practices,Using kubectl,"Using kubectl Use kubectl apply -f <directory>. This looks for Kubernetes configuration in all .yaml,.yml, and .json files in <directory> and passes it to apply.Use label selectors for get and delete operations instead of specific object names. See thesections on label selectorsand using labels effectively.Use kubectl create deployment and kubectl expose to quickly create single-containerDeployments and Services.See Use a Service to Access an Application in a Clusterfor an example.",113
8.2 - ConfigMaps,default,"A ConfigMap is an API object used to store non-confidential data in key-value pairs.Pods can consume ConfigMaps asenvironment variables, command-line arguments, or as configuration files in avolume. A ConfigMap allows you to decouple environment-specific configuration from your container images, so that your applications are easily portable. Caution: ConfigMap does not provide secrecy or encryption.If the data you want to store are confidential, use aSecret rather than a ConfigMap,or use additional (third party) tools to keep your data private.",115
8.2 - ConfigMaps,Motivation,"Motivation Use a ConfigMap for setting configuration data separately from application code. For example, imagine that you are developing an application that you can run on yourown computer (for development) and in the cloud (to handle real traffic).You write the code to look in an environment variable named DATABASE_HOST.Locally, you set that variable to localhost. In the cloud, you set it torefer to a Kubernetes Servicethat exposes the database component to your cluster.This lets you fetch a container image running in the cloud anddebug the exact same code locally if needed. A ConfigMap is not designed to hold large chunks of data. The data stored in aConfigMap cannot exceed 1 MiB. If you need to store settings that arelarger than this limit, you may want to consider mounting a volume or use aseparate database or file service.",183
8.2 - ConfigMaps,ConfigMap object,"ConfigMap object A ConfigMap is an API objectthat lets you store configuration for other objects to use. Unlike mostKubernetes objects that have a spec, a ConfigMap has data and binaryDatafields. These fields accept key-value pairs as their values. Both the datafield and the binaryData are optional. The data field is designed tocontain UTF-8 strings while the binaryData field is designed tocontain binary data as base64-encoded strings. The name of a ConfigMap must be a validDNS subdomain name. Each key under the data or the binaryData field must consist ofalphanumeric characters, -, _ or .. The keys stored in data must notoverlap with the keys in the binaryData field. Starting from v1.19, you can add an immutable field to a ConfigMapdefinition to create an immutable ConfigMap.",179
8.2 - ConfigMaps,ConfigMaps and Pods,"ConfigMaps and Pods You can write a Pod spec that refers to a ConfigMap and configures the container(s)in that Pod based on the data in the ConfigMap. The Pod and the ConfigMap must be inthe same namespace. Note: The spec of a static Pod cannot refer to a ConfigMapor any other API objects. Here's an example ConfigMap that has some keys with single values,and other keys where the value looks like a fragment of a configurationformat. apiVersion: v1kind: ConfigMapmetadata:  name: game-demodata:  # property-like keys; each key maps to a simple value  player_initial_lives: ""3""  ui_properties_file_name: ""user-interface.properties""  # file-like keys  game.properties: |    enemy.types=aliens,monsters    player.maximum-lives=5      user-interface.properties: |    color.good=purple    color.bad=yellow    allow.textmode=true There are four different ways that you can use a ConfigMap to configurea container inside a Pod: Inside a container command and argsEnvironment variables for a containerAdd a file in read-only volume, for the application to readWrite code to run inside the Pod that uses the Kubernetes API to read a ConfigMap These different methods lend themselves to different ways of modelingthe data being consumed.For the first three methods, thekubelet uses the data fromthe ConfigMap when it launches container(s) for a Pod. The fourth method means you have to write code to read the ConfigMap and its data.However, because you're using the Kubernetes API directly, your application cansubscribe to get updates whenever the ConfigMap changes, and reactwhen that happens. By accessing the Kubernetes API directly, thistechnique also lets you access a ConfigMap in a different namespace. Here's an example Pod that uses values from game-demo to configure a Pod: configmap/configure-pod.yamlapiVersion: v1kind: Podmetadata:  name: configmap-demo-podspec:  containers:    - name: demo      image: alpine      command: [""sleep"", ""3600""]      env:        # Define the environment variable        - name: PLAYER_INITIAL_LIVES # Notice that the case is different here                                     # from the key name in the ConfigMap.          valueFrom:            configMapKeyRef:              name: game-demo           # The ConfigMap this value comes from.              key: player_initial_lives # The key to fetch.        - name: UI_PROPERTIES_FILE_NAME          valueFrom:            configMapKeyRef:              name: game-demo              key: ui_properties_file_name      volumeMounts:      - name: config        mountPath: ""/config""        readOnly: true  volumes:  # You set volumes at the Pod level, then mount them into containers inside that Pod  - name: config    configMap:      # Provide the name of the ConfigMap you want to mount.      name: game-demo      # An array of keys from the ConfigMap to create as files      items:      - key: ""game.properties""        path: ""game.properties""      - key: ""user-interface.properties""        path: ""user-interface.properties"" A ConfigMap doesn't differentiate between single line property values andmulti-line file-like values.What matters is how Pods and other objects consume those values. For this example, defining a volume and mounting it inside the democontainer as /config creates two files,/config/game.properties and /config/user-interface.properties,even though there are four keys in the ConfigMap. This is because the Poddefinition specifies an items array in the volumes section.If you omit the items array entirely, every key in the ConfigMap becomesa file with the same name as the key, and you get 4 files.",863
8.2 - ConfigMaps,Using ConfigMaps,"Using ConfigMaps ConfigMaps can be mounted as data volumes. ConfigMaps can also be used by otherparts of the system, without being directly exposed to the Pod. For example,ConfigMaps can hold data that other parts of the system should use for configuration. The most common way to use ConfigMaps is to configure settings forcontainers running in a Pod in the same namespace. You can also use aConfigMap separately. For example, youmight encounter addonsor operators thatadjust their behavior based on a ConfigMap.",105
8.2 - ConfigMaps,Using ConfigMaps as files from a Pod,"Using ConfigMaps as files from a Pod To consume a ConfigMap in a volume in a Pod: Create a ConfigMap or use an existing one. Multiple Pods can reference thesame ConfigMap.Modify your Pod definition to add a volume under .spec.volumes[]. Namethe volume anything, and have a .spec.volumes[].configMap.name field setto reference your ConfigMap object.Add a .spec.containers[].volumeMounts[] to each container that needs theConfigMap. Specify .spec.containers[].volumeMounts[].readOnly = true and.spec.containers[].volumeMounts[].mountPath to an unused directory namewhere you would like the ConfigMap to appear.Modify your image or command line so that the program looks for files inthat directory. Each key in the ConfigMap data map becomes the filenameunder mountPath. This is an example of a Pod that mounts a ConfigMap in a volume: apiVersion: v1kind: Podmetadata:  name: mypodspec:  containers:  - name: mypod    image: redis    volumeMounts:    - name: foo      mountPath: ""/etc/foo""      readOnly: true  volumes:  - name: foo    configMap:      name: myconfigmap Each ConfigMap you want to use needs to be referred to in .spec.volumes. If there are multiple containers in the Pod, then each container needs itsown volumeMounts block, but only one .spec.volumes is needed per ConfigMap.",332
8.2 - ConfigMaps,Mounted ConfigMaps are updated automatically,"Mounted ConfigMaps are updated automatically When a ConfigMap currently consumed in a volume is updated, projected keys are eventually updated as well.The kubelet checks whether the mounted ConfigMap is fresh on every periodic sync.However, the kubelet uses its local cache for getting the current value of the ConfigMap.The type of the cache is configurable using the ConfigMapAndSecretChangeDetectionStrategy field inthe KubeletConfiguration struct.A ConfigMap can be either propagated by watch (default), ttl-based, or by redirectingall requests directly to the API server.As a result, the total delay from the moment when the ConfigMap is updated to the momentwhen new keys are projected to the Pod can be as long as the kubelet sync period + cachepropagation delay, where the cache propagation delay depends on the chosen cache type(it equals to watch propagation delay, ttl of cache, or zero correspondingly). ConfigMaps consumed as environment variables are not updated automatically and require a pod restart. Note: A container using a ConfigMap as a subPath volume mount will not receive ConfigMap updates.",233
8.2 - ConfigMaps,Immutable ConfigMaps,"Immutable ConfigMaps FEATURE STATE: Kubernetes v1.21 [stable] The Kubernetes feature Immutable Secrets and ConfigMaps provides an option to setindividual Secrets and ConfigMaps as immutable. For clusters that extensively use ConfigMaps(at least tens of thousands of unique ConfigMap to Pod mounts), preventing changes to theirdata has the following advantages: protects you from accidental (or unwanted) updates that could cause applications outagesimproves performance of your cluster by significantly reducing load on kube-apiserver, byclosing watches for ConfigMaps marked as immutable. This feature is controlled by the ImmutableEphemeralVolumesfeature gate.You can create an immutable ConfigMap by setting the immutable field to true.For example: apiVersion: v1kind: ConfigMapmetadata:  ...data:  ...immutable: true Once a ConfigMap is marked as immutable, it is not possible to revert this changenor to mutate the contents of the data or the binaryData field. You canonly delete and recreate the ConfigMap. Because existing Pods maintain a mount pointto the deleted ConfigMap, it is recommended to recreate these pods. Read about Secrets.Read Configure a Pod to Use a ConfigMap.Read about changing a ConfigMap (or any other Kubernetes object)Read The Twelve-Factor App to understand the motivation forseparating code from configuration.",287
8.3 - Secrets,default,"A Secret is an object that contains a small amount of sensitive data such asa password, a token, or a key. Such information might otherwise be put in aPod specification or in acontainer image. Using aSecret means that you don't need to include confidential data in yourapplication code. Because Secrets can be created independently of the Pods that use them, thereis less risk of the Secret (and its data) being exposed during the workflow ofcreating, viewing, and editing Pods. Kubernetes, and applications that run inyour cluster, can also take additional precautions with Secrets, such as avoidingwriting secret data to nonvolatile storage. Secrets are similar to ConfigMapsbut are specifically intended to hold confidential data. Caution:Kubernetes Secrets are, by default, stored unencrypted in the API server's underlying data store(etcd). Anyone with API access can retrieve or modify a Secret, and so can anyone with access to etcd.Additionally, anyone who is authorized to create a Pod in a namespace can use that access to readany Secret in that namespace; this includes indirect access such as the ability to create aDeployment.In order to safely use Secrets, take at least the following steps:Enable Encryption at Rest for Secrets.Enable or configure RBAC rules withleast-privilege access to Secrets.Restrict Secret access to specific containers.Consider using external Secret store providers.For more guidelines to manage and improve the security of your Secrets, refer toGood practices for Kubernetes Secrets. See Information security for Secrets for more details.",326
8.3 - Secrets,Uses for Secrets,"Uses for Secrets There are three main ways for a Pod to use a Secret: As files in avolume mounted on one or more ofits containers.As container environment variable.By the kubelet when pulling images for the Pod. The Kubernetes control plane also uses Secrets; for example,bootstrap token Secrets are a mechanism tohelp automate node registration.",76
8.3 - Secrets,Alternatives to Secrets,"Alternatives to Secrets Rather than using a Secret to protect confidential data, you can pick from alternatives. Here are some of your options: if your cloud-native component needs to authenticate to another application that youknow is running within the same Kubernetes cluster, you can use aServiceAccountand its tokens to identify your client.there are third-party tools that you can run, either within or outside your cluster,that provide secrets management. For example, a service that Pods access over HTTPS,that reveals a secret if the client correctly authenticates (for example, with a ServiceAccounttoken).for authentication, you can implement a custom signer for X.509 certificates, and useCertificateSigningRequeststo let that custom signer issue certificates to Pods that need them.you can use a device pluginto expose node-local encryption hardware to a specific Pod. For example, you can scheduletrusted Pods onto nodes that provide a Trusted Platform Module, configured out-of-band. You can also combine two or more of those options, including the option to use Secret objects themselves. For example: implement (or deploy) an operatorthat fetches short-lived session tokens from an external service, and then creates Secrets basedon those short-lived session tokens. Pods running in your cluster can make use of the session tokens,and operator ensures they are valid. This separation means that you can run Pods that are unaware ofthe exact mechanisms for issuing and refreshing those session tokens.",310
8.3 - Secrets,Constraints on Secret names and data,"Constraints on Secret names and data The name of a Secret object must be a validDNS subdomain name. You can specify the data and/or the stringData field when creating aconfiguration file for a Secret. The data and the stringData fields are optional.The values for all keys in the data field have to be base64-encoded strings.If the conversion to base64 string is not desirable, you can choose to specifythe stringData field instead, which accepts arbitrary strings as values. The keys of data and stringData must consist of alphanumeric characters,-, _ or .. All key-value pairs in the stringData field are internallymerged into the data field. If a key appears in both the data and thestringData field, the value specified in the stringData field takesprecedence.",170
8.3 - Secrets,Size limit,"Size limit Individual secrets are limited to 1MiB in size. This is to discourage creationof very large secrets that could exhaust the API server and kubelet memory.However, creation of many smaller secrets could also exhaust memory. You canuse a resource quota to limit thenumber of Secrets (or other resources) in a namespace.",67
8.3 - Secrets,Editing a Secret,"Editing a Secret You can edit an existing Secret unless it is immutable. Toedit a Secret, use one of the following methods: Use kubectlUse a configuration file You can also edit the data in a Secret using the Kustomize tool. However, thismethod creates a new Secret object with the edited data. Depending on how you created the Secret, as well as how the Secret is used inyour Pods, updates to existing Secret objects are propagated automatically toPods that use the data. For more information, refer to Mounted Secrets are updated automatically.",117
8.3 - Secrets,Using a Secret,"Using a Secret Secrets can be mounted as data volumes or exposed asenvironment variablesto be used by a container in a Pod. Secrets can also be used by other parts of thesystem, without being directly exposed to the Pod. For example, Secrets can holdcredentials that other parts of the system should use to interact with externalsystems on your behalf. Secret volume sources are validated to ensure that the specified objectreference actually points to an object of type Secret. Therefore, a Secretneeds to be created before any Pods that depend on it. If the Secret cannot be fetched (perhaps because it does not exist, ordue to a temporary lack of connection to the API server) the kubeletperiodically retries running that Pod. The kubelet also reports an Eventfor that Pod, including details of the problem fetching the Secret.",176
8.3 - Secrets,Optional Secrets,"Optional Secrets When you reference a Secret in a Pod, you can mark the Secret as optional,such as in the following example. If an optional Secret doesn't exist,Kubernetes ignores it. apiVersion: v1kind: Podmetadata:  name: mypodspec:  containers:  - name: mypod    image: redis    volumeMounts:    - name: foo      mountPath: ""/etc/foo""      readOnly: true  volumes:  - name: foo    secret:      secretName: mysecret      optional: true By default, Secrets are required. None of a Pod's containers will start untilall non-optional Secrets are available. If a Pod references a specific key in a non-optional Secret and that Secretdoes exist, but is missing the named key, the Pod fails during startup.",173
8.3 - Secrets,Using Secrets as files from a Pod,"Using Secrets as files from a Pod If you want to access data from a Secret in a Pod, one way to do that is tohave Kubernetes make the value of that Secret be available as a file insidethe filesystem of one or more of the Pod's containers. For instructions, refer toDistribute credentials securely using Secrets. When a volume contains data from a Secret, and that Secret is updated, Kubernetes tracksthis and updates the data in the volume, using an eventually-consistent approach. Note: A container using a Secret as asubPath volume mount does not receiveautomated Secret updates. The kubelet keeps a cache of the current keys and values for the Secrets that are used involumes for pods on that node.You can configure the way that the kubelet detects changes from the cached values. TheconfigMapAndSecretChangeDetectionStrategy field in thekubelet configuration controlswhich strategy the kubelet uses. The default strategy is Watch. Updates to Secrets can be either propagated by an API watch mechanism (the default), based ona cache with a defined time-to-live, or polled from the cluster API server on each kubeletsynchronisation loop. As a result, the total delay from the moment when the Secret is updated to the momentwhen new keys are projected to the Pod can be as long as the kubelet sync period + cachepropagation delay, where the cache propagation delay depends on the chosen cache type(following the same order listed in the previous paragraph, these are:watch propagation delay, the configured cache TTL, or zero for direct polling).",336
8.3 - Secrets,Using Secrets as environment variables,"Using Secrets as environment variables To use a Secret in an environment variablein a Pod: For each container in your Pod specification, add an environment variablefor each Secret key that you want to use to theenv[].valueFrom.secretKeyRef field.Modify your image and/or command line so that the program looks for valuesin the specified environment variables. For instructions, refer toDefine container environment variables using Secret data.",87
8.3 - Secrets,Invalid environment variables,"Invalid environment variables If your environment variable definitions in your Pod specification areconsidered to be invalid environment variable names, those keys aren't madeavailable to your container. The Pod is allowed to start. Kubernetes adds an Event with the reason set to InvalidVariableNames and amessage that lists the skipped invalid keys. The following example shows a Pod that refers to a Secret named mysecret, where mysecret contains 2 invalid keys: 1badkey and 2alsobad. kubectl get events The output is similar to: LASTSEEN   FIRSTSEEN   COUNT     NAME            KIND      SUBOBJECT                         TYPE      REASON0s         0s          1         dapi-test-pod   Pod                                         Warning   InvalidEnvironmentVariableNames   kubelet, 127.0.0.1      Keys [1badkey, 2alsobad] from the EnvFrom secret default/mysecret were skipped since they are considered invalid environment variable names.",202
8.3 - Secrets,Container image pull secrets,"Container image pull secrets If you want to fetch container images from a private repository, you need a way forthe kubelet on each node to authenticate to that repository. You can configureimage pull secrets to make this possible. These secrets are configured at the Podlevel.",55
8.3 - Secrets,Using imagePullSecrets,"Using imagePullSecrets The imagePullSecrets field is a list of references to secrets in the same namespace.You can use an imagePullSecrets to pass a secret that contains a Docker (or other) image registrypassword to the kubelet. The kubelet uses this information to pull a private image on behalf of your Pod.See the PodSpec APIfor more information about the imagePullSecrets field. Manually specifying an imagePullSecret You can learn how to specify imagePullSecrets from thecontainer imagesdocumentation. Arranging for imagePullSecrets to be automatically attached You can manually create imagePullSecrets, and reference these from a ServiceAccount. Any Podscreated with that ServiceAccount or created with that ServiceAccount by default, will get theirimagePullSecrets field set to that of the service account.See Add ImagePullSecrets to a service accountfor a detailed explanation of that process.",190
8.3 - Secrets,Use case: Pod with SSH keys,"Use case: Pod with SSH keys Create a Secret containing some SSH keys: kubectl create secret generic ssh-key-secret --from-file=ssh-privatekey=/path/to/.ssh/id_rsa --from-file=ssh-publickey=/path/to/.ssh/id_rsa.pub The output is similar to: secret ""ssh-key-secret"" created You can also create a kustomization.yaml with a secretGenerator field containing ssh keys. Caution:Think carefully before sending your own SSH keys: other users of the cluster may have accessto the Secret.You could instead create an SSH private key representing a service identity that you want to beaccessible to all the users with whom you share the Kubernetes cluster, and that you can revokeif the credentials are compromised. Now you can create a Pod which references the secret with the SSH key andconsumes it in a volume: apiVersion: v1kind: Podmetadata:  name: secret-test-pod  labels:    name: secret-testspec:  volumes:  - name: secret-volume    secret:      secretName: ssh-key-secret  containers:  - name: ssh-test-container    image: mySshImage    volumeMounts:    - name: secret-volume      readOnly: true      mountPath: ""/etc/secret-volume"" When the container's command runs, the pieces of the key will be available in: /etc/secret-volume/ssh-publickey/etc/secret-volume/ssh-privatekey The container is then free to use the secret data to establish an SSH connection.",350
8.3 - Secrets,Use case: Pods with prod / test credentials,"Use case: Pods with prod / test credentials This example illustrates a Pod which consumes a secret containing production credentials andanother Pod which consumes a secret with test environment credentials. You can create a kustomization.yaml with a secretGenerator field or runkubectl create secret. kubectl create secret generic prod-db-secret --from-literal=username=produser --from-literal=password=Y4nys7f11 The output is similar to: secret ""prod-db-secret"" created You can also create a secret for test environment credentials. kubectl create secret generic test-db-secret --from-literal=username=testuser --from-literal=password=iluvtests The output is similar to: secret ""test-db-secret"" created Note:Special characters such as $, \, *, =, and ! will be interpreted by yourshell and require escaping.In most shells, the easiest way to escape the password is to surround it with single quotes (').For example, if your actual password is S!B\*d$zDsb=, you should execute the command this way:kubectl create secret generic dev-db-secret --from-literal=username=devuser --from-literal=password='S!B\*d$zDsb='You do not need to escape special characters in passwords from files (--from-file). Now make the Pods: cat <<EOF > pod.yamlapiVersion: v1kind: Listitems:- kind: Pod  apiVersion: v1  metadata:    name: prod-db-client-pod    labels:      name: prod-db-client  spec:    volumes:    - name: secret-volume      secret:        secretName: prod-db-secret    containers:    - name: db-client-container      image: myClientImage      volumeMounts:      - name: secret-volume        readOnly: true        mountPath: ""/etc/secret-volume""- kind: Pod  apiVersion: v1  metadata:    name: test-db-client-pod    labels:      name: test-db-client  spec:    volumes:    - name: secret-volume      secret:        secretName: test-db-secret    containers:    - name: db-client-container      image: myClientImage      volumeMounts:      - name: secret-volume        readOnly: true        mountPath: ""/etc/secret-volume""EOF Add the pods to the same kustomization.yaml: cat <<EOF >> kustomization.yamlresources:- pod.yamlEOF Apply all those objects on the API server by running: kubectl apply -k . Both containers will have the following files present on their filesystems with the valuesfor each container's environment: /etc/secret-volume/username/etc/secret-volume/password Note how the specs for the two Pods differ only in one field; this facilitatescreating Pods with different capabilities from a common Pod template. You could further simplify the base Pod specification by using two service accounts: prod-user with the prod-db-secrettest-user with the test-db-secret The Pod specification is shortened to: apiVersion: v1kind: Podmetadata:  name: prod-db-client-pod  labels:    name: prod-db-clientspec:  serviceAccount: prod-db-client  containers:  - name: db-client-container    image: myClientImage",761
8.3 - Secrets,Use case: dotfiles in a secret volume,"Use case: dotfiles in a secret volume You can make your data ""hidden"" by defining a key that begins with a dot.This key represents a dotfile or ""hidden"" file. For example, when the following secretis mounted into a volume, secret-volume: apiVersion: v1kind: Secretmetadata:  name: dotfile-secretdata:  .secret-file: dmFsdWUtMg0KDQo=---apiVersion: v1kind: Podmetadata:  name: secret-dotfiles-podspec:  volumes:  - name: secret-volume    secret:      secretName: dotfile-secret  containers:  - name: dotfile-test-container    image: registry.k8s.io/busybox    command:    - ls    - ""-l""    - ""/etc/secret-volume""    volumeMounts:    - name: secret-volume      readOnly: true      mountPath: ""/etc/secret-volume"" The volume will contain a single file, called .secret-file, andthe dotfile-test-container will have this file present at the path/etc/secret-volume/.secret-file. Note: Files beginning with dot characters are hidden from the output of ls -l;you must use ls -la to see them when listing directory contents.",285
8.3 - Secrets,Use case: Secret visible to one container in a Pod,"Use case: Secret visible to one container in a Pod Consider a program that needs to handle HTTP requests, do some complex businesslogic, and then sign some messages with an HMAC. Because it has complexapplication logic, there might be an unnoticed remote file reading exploit inthe server, which could expose the private key to an attacker. This could be divided into two processes in two containers: a frontend containerwhich handles user interaction and business logic, but which cannot see theprivate key; and a signer container that can see the private key, and respondsto simple signing requests from the frontend (for example, over localhost networking). With this partitioned approach, an attacker now has to trick the applicationserver into doing something rather arbitrary, which may be harder than gettingit to read a file.",164
8.3 - Secrets,Types of Secret,"Types of Secret When creating a Secret, you can specify its type using the type field ofthe Secretresource, or certain equivalent kubectl command line flags (if available).The Secret type is used to facilitate programmatic handling of the Secret data. Kubernetes provides several built-in types for some common usage scenarios.These types vary in terms of the validations performed and the constraintsKubernetes imposes on them. Built-in TypeUsageOpaquearbitrary user-defined datakubernetes.io/service-account-tokenServiceAccount tokenkubernetes.io/dockercfgserialized ~/.dockercfg filekubernetes.io/dockerconfigjsonserialized ~/.docker/config.json filekubernetes.io/basic-authcredentials for basic authenticationkubernetes.io/ssh-authcredentials for SSH authenticationkubernetes.io/tlsdata for a TLS client or serverbootstrap.kubernetes.io/tokenbootstrap token data You can define and use your own Secret type by assigning a non-empty string as thetype value for a Secret object (an empty string is treated as an Opaque type). Kubernetes doesn't impose any constraints on the type name. However, if youare using one of the built-in types, you must meet all the requirements definedfor that type. If you are defining a type of secret that's for public use, follow the conventionand structure the secret type to have your domain name before the name, separatedby a /. For example: cloud-hosting.example.net/cloud-api-credentials.",351
8.3 - Secrets,Opaque secrets,"Opaque secrets Opaque is the default Secret type if omitted from a Secret configuration file.When you create a Secret using kubectl, you will use the genericsubcommand to indicate an Opaque Secret type. For example, the followingcommand creates an empty Secret of type Opaque. kubectl create secret generic empty-secretkubectl get secret empty-secret The output looks like: NAME           TYPE     DATA   AGEempty-secret   Opaque   0      2m6s The DATA column shows the number of data items stored in the Secret.In this case, 0 means you have created an empty Secret.",133
